ASM3709460v1	GCA_037094605.1	GCF_037094605.1
ASM876147v2	GCA_008761475.2	GCF_008761475.2
ASM876145v2	GCA_008761455.2	GCF_008761455.2
ASM3754391v1	GCA_037543915.1	GCF_037543915.1
ASM201222v1	GCA_002012225.1	GCF_002012225.1
ASM1677620v1	GCA_016776205.1	GCF_016776205.1
ASM2088329v1	GCA_020883295.1	GCF_020883295.1
ASM318099v1	GCA_003180995.1	GCF_003180995.1
ASM880765v1	GCA_008807655.1	GCF_008807655.1
ASM3070813v1	GCA_030708135.1	GCF_030708135.1
ASM201202v1	GCA_002012025.1	GCF_002012025.1
ASM3070827v1	GCA_030708275.1	GCF_030708275.1
ASM3185231v1	GCA_031852315.1	GCF_031852315.1
ASM1677602v1	GCA_016776025.1	GCF_016776025.1
ASM1677586v1	GCA_016775865.1	GCF_016775865.1
ASM2967464v1	GCA_029674645.1	GCF_029674645.1
ASM2962513v1	GCA_029625135.1	GCF_029625135.1
ASM3728861v1	GCA_037288615.1	GCF_037288615.1
ASM1133121v2	GCA_011331215.2	GCF_011331215.2
ASM1513857v1	GCA_015138575.1	GCF_015138575.1
ASM3728739v1	GCA_037287395.1	GCF_037287395.1
ASM2470088v2	GCA_024700885.2	GCF_024700885.2
ASM2860976v1	GCA_028609765.1	GCF_028609765.1
ASM1888438v1	GCA_018884385.1	GCF_018884385.1
ASM2088335v1	GCA_020883355.1	GCF_020883355.1
ASM3757146v1	GCA_037571465.1	GCF_037571465.1
ASM301907v1	GCA_003019075.1	GCF_003019075.1
ASM1678072v1	GCA_016780725.1	GCF_016780725.1
ASM2202375v1	GCA_022023755.1	GCF_022023755.1
ASM2291883v1	GCA_022918835.1	GCF_022918835.1
ASM3709451v1	GCA_037094515.1	GCF_037094515.1
MSB1_8B	GCA_904865655.1	GCF_904865655.1
ASM1677594v1	GCA_016775945.1	GCF_016775945.1
ASM1763918v1	GCA_017639185.1	GCF_017639185.1
ASM3051553v1	GCA_030515535.1	GCF_030515535.1
ASM1328219v1	GCA_013282195.1	GCF_013282195.1
ASM2088331v1	GCA_020883315.1	GCF_020883315.1
ASM3070823v1	GCA_030708235.1	GCF_030708235.1
ASM995080v1	GCA_009950805.1	GCF_009950805.1
ST38_3_FIN	GCA_963924205.1	GCF_963924205.1
ASM3041910v1	GCA_030419105.1	GCF_030419105.1
ASM2149814v1	GCA_021498145.1	GCF_021498145.1
ASM221474v2	GCA_002214745.2	GCF_002214745.2
ASM1331599v1	GCA_013315995.1	GCF_013315995.1
ASM3708201v1	GCA_037082015.1	GCF_037082015.1
ASM385661v1	GCA_003856615.1	GCF_003856615.1
ASM2088333v1	GCA_020883335.1	GCF_020883335.1
ASM3229811v1	GCA_032298115.1	GCF_032298115.1
ASM3070821v1	GCA_030708215.1	GCF_030708215.1
ASM2361245v1	GCA_023612455.1	GCF_023612455.1
ASM3001347v1	GCA_030013475.1	GCF_030013475.1
ASM3757283v1	GCA_037572835.1	GCF_037572835.1
ASM3442249v1	GCA_034422495.1	GCF_034422495.1
ASM328829v1	GCA_003288295.1	GCF_003288295.1
ASM3001316v1	GCA_030013165.1	GCF_030013165.1
ASM1072530v1	GCA_010725305.1	GCF_010725305.1
ASM2155985v1	GCA_021559855.1	GCF_021559855.1
ASM301837v1	GCA_003018375.1	GCF_003018375.1
ASM1416885v1	GCA_014168855.1	GCF_014168855.1
ASM783387v1	GCA_007833875.1	GCF_007833875.1
ASM3041380v1	GCA_030413805.1	GCF_030413805.1
ASM328827v1	GCA_003288275.1	GCF_003288275.1
ASM167896v1	GCA_001678965.1	GCF_001678965.1
ASM2665126v1	GCA_026651265.1	GCF_026651265.1
ASM1416985v1	GCA_014169855.1	GCF_014169855.1
ASM3041908v1	GCA_030419085.1	GCF_030419085.1
ASM381294v1	GCA_003812945.1	GCF_003812945.1
ASM2088327v1	GCA_020883275.1	GCF_020883275.1
ASM1677616v1	GCA_016776165.1	GCF_016776165.1
ASM2097174v1	GCA_020971745.1	GCF_020971745.1
ASM3597415v1	GCA_035974155.1	GCF_035974155.1
ASM3070853v1	GCA_030708535.1	GCF_030708535.1
ASM2088337v1	GCA_020883375.1	GCF_020883375.1
MSB1_6C	GCA_904866495.1	GCF_904866495.1
ASM3688478v1	GCA_036884785.1	GCF_036884785.1
ASM201206v1	GCA_002012065.1	GCF_002012065.1
ASM3070787v1	GCA_030707875.1	GCF_030707875.1
ASM3592808v1	GCA_035928085.1	GCF_035928085.1
ASM1677630v1	GCA_016776305.1	GCF_016776305.1
ASM806545v1	GCA_008065455.1	GCF_008065455.1
ASM1760356v1	GCA_017603565.1	GCF_017603565.1
ASM2794459v1	GCA_027944595.1	GCF_027944595.1
ASM3070829v1	GCA_030708295.1	GCF_030708295.1
ASM1688962v1	GCA_016889625.1	GCF_016889625.1
ASM1612769v1	GCA_016127695.1	GCF_016127695.1
ASM3651173v1	GCA_036511735.1	GCF_036511735.1
ASM1688972v1	GCA_016889725.1	GCF_016889725.1
ASM1690433v1	GCA_016904335.1	GCF_016904335.1
SC418	GCA_902810335.1	GCF_902810335.1
ASM284613v1	GCA_002846135.1	GCF_002846135.1
ASM3754069v1	GCA_037540695.1	GCF_037540695.1
ASM1677618v1	GCA_016776185.1	GCF_016776185.1
ASM1814112v1	GCA_018141125.1	GCF_018141125.1
ASM2256979v1	GCA_022569795.1	GCF_022569795.1
ASM1688918v1	GCA_016889185.1	GCF_016889185.1
ASM2249468v1	GCA_022494685.1	GCF_022494685.1
ASM3755866v1	GCA_037558665.1	GCF_037558665.1
ASM3051561v1	GCA_030515615.1	GCF_030515615.1
ASM2433158v2	GCA_024331585.2	GCF_024331585.2
ASM2668933v1	GCA_026689335.1	GCF_026689335.1
ASM1935549v1	GCA_019355495.1	GCF_019355495.1
ASM1677584v1	GCA_016775845.1	GCF_016775845.1
ASM477123v1	GCA_004771235.1	GCF_004771235.1
ASM2665116v1	GCA_026651165.1	GCF_026651165.1
ASM334683v1	GCA_003346835.1	GCF_003346835.1
ASM2558358v2	GCA_025583585.2	GCF_025583585.2
ASM3028560v1	GCA_030285605.1	GCF_030285605.1
ASM3728767v1	GCA_037287675.1	GCF_037287675.1
ASM167751v1	GCA_001677515.1	GCF_001677515.1
ASM1689004v1	GCA_016890045.1	GCF_016890045.1
AI2834v1_cpp	GCA_905330065.2	GCF_905330065.2
ASM320415v1	GCA_003204155.1	GCF_003204155.1
AI2949v1_cpp	GCA_905330875.2	GCF_905330875.2
ASM296873v1	GCA_002968735.1	GCF_002968735.1
ASM1690449v1	GCA_016904495.1	GCF_016904495.1
ASM1677614v1	GCA_016776145.1	GCF_016776145.1
ASM2088325v1	GCA_020883255.1	GCF_020883255.1
ASM635188v1	GCA_006351885.1	GCF_006351885.1
ASM1677588v1	GCA_016775885.1	GCF_016775885.1
ASM3071752v1	GCA_030717525.1	GCF_030717525.1
ASM3003554v1	GCA_030035545.1	GCF_030035545.1
ASM381314v1	GCA_003813145.1	GCF_003813145.1
ASM2291903v1	GCA_022919035.1	GCF_022919035.1
ASM362785v1	GCA_003627855.1	GCF_003627855.1
ASM1690407v1	GCA_016904075.1	GCF_016904075.1
ASM1416957v1	GCA_014169575.1	GCF_014169575.1
ASM3188489v1	GCA_031884895.1	GCF_031884895.1
ASM1452224v1	GCA_014522245.1	GCF_014522245.1
ASM142093v1	GCA_001420935.1	GCF_001420935.1
ASM2491753v1	GCA_024917535.1	GCF_024917535.1
ASM295167v1	GCA_002951675.1	GCF_002951675.1
ASM1688902v1	GCA_016889025.1	GCF_016889025.1
ASM3756180v1	GCA_037561805.1	GCF_037561805.1
ASM1640448v2	GCA_016404485.2	GCF_016404485.2
MINF_1A	GCA_904863375.1	GCF_904863375.1
ASM2153488v1	GCA_021534885.1	GCF_021534885.1
ASM2153490v1	GCA_021534905.1	GCF_021534905.1
ASM2153484v1	GCA_021534845.1	GCF_021534845.1
ASM1331571v1	GCA_013315715.1	GCF_013315715.1
ASM3099664v1	GCA_030996645.1	GCF_030996645.1
ASM285365v1	GCA_002853655.1	GCF_002853655.1
ASM3238683v1	GCA_032386835.1	GCF_032386835.1
ASM2088339v1	GCA_020883395.1	GCF_020883395.1
ASM2600120v1	GCA_026001205.1	GCF_026001205.1
YDC107	GCA_002925525.1	GCF_002925525.1
ASM2875269v1	GCA_028752695.1	GCF_028752695.1
ASM3597413v1	GCA_035974135.1	GCF_035974135.1
ASM1677596v1	GCA_016775965.1	GCF_016775965.1
ASM276399v1	GCA_002763995.1	GCF_002763995.1
ASM276401v1	GCA_002764015.1	GCF_002764015.1
ASM301807v1	GCA_003018075.1	GCF_003018075.1
ASM2491747v1	GCA_024917475.1	GCF_024917475.1
ASM1009296v1	GCA_010092965.1	GCF_010092965.1
ASM1602621v1	GCA_016026215.1	GCF_016026215.1
ASM2600112v1	GCA_026001125.1	GCF_026001125.1
ASM1942874v1	GCA_019428745.1	GCF_019428745.1
ASM172122v1	GCA_001721225.1	GCF_001721225.1
ASM1942876v1	GCA_019428765.1	GCF_019428765.1
ASM1677628v1	GCA_016776285.1	GCF_016776285.1
ASM3034497v1	GCA_030344975.1	GCF_030344975.1
ASM864239v1	GCA_008642395.1	GCF_008642395.1
ASM1677592v1	GCA_016775925.1	GCF_016775925.1
